"","WDPA_PID","BIOME","IUCN_CAT","IUCN_GROUP","GIS_AREA","PA_Area","BUFF_Area","CONTINENT","LAT","LONG","PA_FPAR_COUNT","PA_FPAR_MEAN","BUFF_FPAR_MEAN","PA_DUR_COUNT","PA_DUR_MEAN","BUFF_DUR_MEAN","PA_IGN_COUNT","PA_IGN_MEAN","BUFF_IGN_MEAN","PA_HFP_COUNT","PA_HFP_MEAN","BUFF_HFP_MEAN","PA_NAT_AREA_COUNT","PA_NAT_AREA","BUFF_NAT_AREA","PA_HET_COUNT","PA_HET","BUFF_HET","PA_BA_COUNT","PA_BA","BUFF_BA"
"2825","14171",1,"III","A",38.7459341,3.9e+07,2.416e+09,"SA",-13.57976,-72.89304,46,7.21739130434783,57.2224711907811,NA,NA,NA,NA,NA,NA,41,-0.170731684056724,1.03899082933362,501,0,-1000064,420,0,0,NA,NA,NA
"2826","14172",4,"IV","A",88.73771132,8.5e+07,6.2e+07,"AS",27.01158,92.73124,117,-88.6752136752137,-38.7306320907618,NA,NA,NA,NA,NA,NA,86,1.06976743077123,2.58808613770311,1146,-3e+06,0,1004,-1,0,NA,NA,NA
"2827","14173",1,"IV","A",8.579313067,8e+06,1384999936,"AS",25.21524,90.47099,13,-60.2307692307692,-3.14460356269647,NA,NA,NA,NA,NA,NA,8,1.875,1.024182704015,112,0,-3e+06,99,0,1,NA,NA,NA
"2828","14174",1,"II","A",9.29056475,9e+06,2.012e+09,"AS",25.51027,90.20052,12,3.41666666666667,9.70231114177303,NA,NA,NA,NA,NA,NA,9,3.77777777777778,1.46324180268523,121,-1e+06,-4e+06,109,1,1,NA,NA,NA
"2829","14175",1,"IV","A",268.2154728,2.72e+08,4208999936,"AS",23.32604,91.38933,338,-47.310650887574,32.5128440366972,1,0,0,1,0,0,271,1.34686345631786,1.0707000396182,3461,-4e+06,-1.38e+08,3057,0,0,NA,NA,NA
"2830","14176",1,"IV","A",21.35324763,2.3e+07,1.398e+09,"AS",23.63451,91.28683,29,-41.3103448275862,44.5424450999672,NA,NA,NA,NA,NA,NA,21,5.4285713377453,2.37571778895916,277,0,-3.1e+07,248,-1,0,NA,NA,NA
"2831","14178",1,"IV","A",41.8498744,4.4e+07,2.608e+09,"AS",25.9665,87.88082,55,99.8363636363636,231.515574013646,NA,NA,NA,NA,NA,NA,42,0.0714285714285714,0.399079050545681,NA,NA,NA,487,0,0,NA,NA,NA
"2832","1418",1,"Ia","A",497.0235766,5e+08,3.256e+09,"AS",13.29986,99.30411,597,21.0854271356784,2.2135523613963,NA,NA,NA,NA,NA,NA,497,-3.39839033821459,-0.613852292600673,6423,-7e+06,-23000064,5345,1,1,NA,NA,NA
"2833","14180",4,"II","A",78.38894647,8.1e+07,1607000064,"AS",27.1443,88.03619,101,-125.891089108911,95.0628208262039,NA,NA,NA,NA,NA,NA,79,0.822784828234322,-0.0749362255541646,1013,0,-9000064,924,0,0,NA,NA,NA
"2834","142",1,"II","A",784.7401739,7.88e+08,3350000128,"SA",7.810506,-77.18431,909,-23.3795379537954,3.09150505326414,1,6.35254287719727,10.9269047737122,1,-0.111928105354309,2.97406377792358,787,1.25285895155527,1.21866026263456,10108,-2e+06,2000128,7905,1,1,NA,NA,NA
"2835","1420",1,"Ia","A",477.0679322,4.75e+08,3.05e+08,"AS",9.4411,98.59344,561,-70.8716577540107,21.0527426160338,1,0,1.25,1,0,0.25,476,-1.08613442372875,4.67515924155332,6153,5e+06,0,5063,0,0,NA,NA,NA
"2836","1421",1,"Ia","A",182.4891599,1.83e+08,2937999872,"AS",6.946281,100.191,215,21.6046511627907,91.7530612244898,NA,NA,NA,NA,NA,NA,183,-0.61202189700851,3.83972834018779,2354,1.6e+07,4.8e+07,1920,-1,0,NA,NA,NA
"2837","1422",2,"Ia","A",242.4605694,2.38e+08,9.2e+07,"AS",14.34154,105.044,293,62.3924914675768,98.7936777702243,NA,NA,NA,NA,NA,NA,241,0.668049790552543,-0.857610482289631,3088,0,0,2614,0,1,NA,NA,NA
"2838","1423",1,"Ia","A",189.9329528,1.89e+08,1780999936,"AS",18.19524,103.9679,236,192.656779661017,237.487880969522,NA,NA,NA,NA,NA,NA,189,-0.047619035004308,2.02539404393356,2443,0,-4e+06,2093,0,0,NA,NA,NA
"2839","14235",13,"II","A",40.00861555,4.2e+07,1600999936,"AS",33.01024,72.49194,56,247.303571428571,209.821091740497,NA,NA,NA,NA,NA,NA,41,-0.51219512195122,-2.45433436532508,NA,NA,NA,495,0,1,NA,NA,NA
"2840","14238",4,"IV","A",5.787629332,5e+06,2435000064,"EU",47.36119,17.77694,10,281.9,274.090316348708,NA,NA,NA,NA,NA,NA,7,-0.571428571428571,-1.11563518177415,77,0,1.8e+07,88,0,0,NA,NA,NA
"2841","1424",1,"Ia","A",147.9954969,1.52e+08,3.576e+09,"AS",13.22837,101.0792,171,25.046783625731,-43.2595476455321,1,2.72040557861328,-4.8469512462616,1,-52.9692306518555,-12.1395828723907,153,0.562091574949377,2.10000000317891,1915,-3e+06,-1.4e+07,1586,0,0,152,-1.1e+07,-9e+06
"2842","14248",NA,NA,NA,NA,NA,1547000064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2843","1425",1,"Ia","A",1006.452485,1.004e+09,2680999936,"AS",13.27772,101.8407,1202,23.134775374376,223.306775225356,1,-4.07692337036133,-7.22102525830269,1,-19,-28.3285584449768,1012,0.0721343849958638,0.897493505189413,12976,-3e+06,1e+06,10799,0,0,NA,NA,NA
"2844","142708",4,"IV","A",4.727335024,2e+06,1.23e+09,"EU",48.05428,6.793909,5,238,94.3233998445193,NA,NA,NA,NA,NA,NA,5,0.6,-0.295191423551164,66,0,-17000064,75,0,0,NA,NA,NA
"2845","142711",4,"IV","A",2.924443275,3e+06,4.32e+08,"EU",42.69223,2.194941,5,120.4,41.2319950965369,NA,NA,NA,NA,NA,NA,3,0,0.366243540820349,39,0,-2e+06,41,0,0,NA,NA,NA
"2846","142712",12,"IV","A",2.504642969,4e+06,NA,"EU",43.77122,3.558461,4,143.5,115.805581687049,NA,NA,NA,NA,NA,NA,2,0.5,2.54860791687767,NA,NA,NA,38,0,0,NA,NA,NA
"2847","142714",12,"IV","A",1.8577675,2e+06,4e+06,"EU",43.63091,2.950683,2,14.5,61.7867734282325,NA,NA,NA,NA,NA,NA,2,7,0.140864701783142,NA,NA,NA,31,0,0,NA,NA,NA
"2848","142720",12,"IV","A",3.176767486,3e+06,3.33e+08,"EU",42.29465,8.913678,1,216,200.785005512679,NA,NA,NA,NA,NA,NA,2,-2.99999976158142,-0.720067438548572,40,0,0,42,0,0,NA,NA,NA
"2849","142744",4,"IV","A",0.416154356,NA,4.09e+08,"EU",48.7623,5.550989,1,19,163.897931034483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,NA,NA,NA
"2850","142746",4,"IV","A",0.085688402,1e+06,1.8e+07,"EU",48.87276,8.040125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA
"2851","142752",NA,NA,NA,NA,NA,2.9e+07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
